laptop_ID,Company,Product,TypeName,Inches,ScreenResolution,Cpu,CpuGen,Ram,Gpu,OpSys,Weight,Price_euros
817,Dell,Inspiron 7567,Gaming,15.6,4K Ultra HD 3840x2160,Intel Core i7 7700HQ 2.8GHz,7th Gen,16GB,Nvidia GeForce GTX 1050 Ti,Windows 10,2.62kg,1792.23
818,Lenovo,IdeaPad 310-15IKB,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,4GB,Nvidia GeForce 920M,Windows 10,2.4kg,674.88
819,HP,Omen 17-an012dx,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,7th Gen,12GB,AMD Radeon RX 580,Windows 10,3.74kg,1573.33
820,MSI,GE72MVR 7RG,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,7th Gen,16GB,Nvidia GeForce GTX 1070,Windows 10,2.9kg,3014.32
821,Samsung,Notebook 9,Ultrabook,13.3,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,0.81kg,1495.04
822,Dell,Vostro 5568,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,7th Gen,8GB,Nvidia GeForce GT 940MX,Windows 10,1.98kg,1013.16
823,Dell,Vostro 3568,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,AMD Radeon R5 M420,Windows 10,2.18kg,711.72
824,Lenovo,Thinkpad T470s,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.32kg,1092.22
825,Razer,Blade Stealth,Ultrabook,12.5,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7500U 2.5GHz,7th Gen,16GB,Intel HD Graphics 620,Windows 10,1.29kg,1910.17
826,HP,Chromebook 11,Netbook,11.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,3th Gen,4GB,Intel HD Graphics 400,Chrome OS,1.23kg,609.27
827,Dell,Alienware 17,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,7th Gen,16GB,Nvidia GeForce GTX 1060,Windows 10,4.36kg,3148.61
828,Dell,Latitude 3480,Notebook,14.0,1366x768,Intel Core i5 6200U 2.3GHz,6th Gen,4GB,Intel HD Graphics 520,Windows 10,1.76kg,827.59
829,Lenovo,V110-15ISK (i3-6006U/4GB/500GB/W10),Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,6th Gen,4GB,Intel HD Graphics 520,Windows 10,2.1kg,513.13
830,Toshiba,Tecra X40-D-10Z,Ultrabook,14.0,1366x768,Intel Core i5 7200U 2.5GHz,7th Gen,4GB,Intel HD Graphics 620,Windows 10,1.25kg,1203.9
831,Lenovo,Thinkpad X1,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.13kg,3022.35
832,MSI,GL62M 7RD,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,7th Gen,8GB,Nvidia GeForce GTX 1050,Windows 10,2.4kg,1035.74
833,Lenovo,ThinkPad X1,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.13kg,2480.37
834,Toshiba,Satellite Pro,Notebook,14.0,1366x768,Intel Pentium Dual Core 4405U 2.1GHz,4th Gen,4GB,Intel HD Graphics 510,Windows 10,1.75kg,620.3
835,Asus,ZenBook Flip,2 in 1 Convertible,13.3,Touchscreen / Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.1kg,1688.86
836,Dell,Latitude 3480,Notebook,14.0,1366x768,Intel Core i3 6006U 2GHz,6th Gen,4GB,Intel HD Graphics 520,Windows 10,1.76kg,694.8
837,Acer,Chromebook 11,Netbook,11.6,IPS Panel 1366x768,Intel Celeron Dual Core N3060 1.6GHz,3th Gen,4GB,Intel HD Graphics 400,Chrome OS,1.35kg,391.89
838,Acer,Swift 3,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.5kg,764.2
839,Razer,Blade Pro,Gaming,17.3,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7820HK 2.9GHz,7th Gen,32GB,Nvidia GeForce GTX 1080,Windows 10,3.49kg,6699.78
840,Lenovo,Thinkpad X1,Ultrabook,14.0,IPS Panel Quad HD+ 2560x1440,Intel Core i7 6600U 2.6GHz,6th Gen,16GB,Intel HD Graphics 520,Windows 10,1.1kg,2160.27
841,Asus,VivoBook Max,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,4GB,Nvidia GeForce 920,Linux,2.1kg,511.36
842,Lenovo,Thinkpad T460,Notebook,14.0,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,6th Gen,8GB,Intel HD Graphics 520,Windows 10,1.7kg,1328.76
843,Lenovo,ThinkPad T470s,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.32kg,2326.18
844,Dell,Alienware 15,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,7th Gen,16GB,Nvidia GeForce GTX 1070,Windows 10,3.21kg,2364.48
845,Asus,Rog GL702VS-BA023T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,7th Gen,16GB,Nvidia GeForce GTX 1070,Windows 10,2.9kg,1950.91
846,Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,7th Gen,4GB,Intel HD Graphics 620,Windows 10,2.0kg,757.95
847,Lenovo,N42-20 Chromebook,Notebook,14.0,1366x768,Intel Celeron Quad Core N3160 1.6GHz,3th Gen,4GB,Intel HD Graphics 400,Chrome OS,1.5kg,360.81
848,Asus,R558UA-DM966T (i5-7200U/8GB/128GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,2.3kg,669.45
849,Asus,Rog GL702VM-GC017T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,6th Gen,16GB,Nvidia GeForce GTX 1060,Windows 10,2.73kg,2066.67
851,Dell,Alienware 17,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,7th Gen,32GB,Nvidia GeForce GTX 1070,Windows 10,4.42kg,3243.0
852,HP,ProBook 470,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,Nvidia GeForce 930MX,Windows 10,2.63kg,1272.16
853,Dell,Vostro 3568,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,2.18kg,556.78
854,HP,EliteBook 840,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,6th Gen,8GB,Intel HD Graphics 520,Windows 7,1.54kg,1747.14
855,Dell,Vostro 3568,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,7th Gen,4GB,AMD Radeon R5 M420,Windows 10,2.18kg,797.64
856,HP,Chromebook X360,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1GHz,3th Gen,4GB,Intel HD Graphics 500,Chrome OS,1.4kg,474.39
857,Asus,ZenBook UX310UQ-GL026T,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,6th Gen,8GB,Nvidia GeForce 940M,Windows 10,1.45kg,1092.51
858,HP,EliteBook x360,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.28kg,3261.33
859,HP,EliteBook 840,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,6th Gen,8GB,Intel HD Graphics 520,Windows 10,1.54kg,1620.93
860,HP,250 G6,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,3th Gen,4GB,Intel HD Graphics 400,No OS,1.86kg,342.7
862,Asus,Rog GL502VM-DS74,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,7th Gen,16GB,Nvidia GeForce GTX 1060,Windows 10,2.1kg,1610.29
863,Dell,Inspiron 5767,Notebook,17.3,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,7th Gen,8GB,AMD Radeon R7 M445,Linux,2.83kg,844.87
864,Lenovo,ThinkPad T470p,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,7th Gen,8GB,Nvidia GeForce GT 940MX,Windows 10,1.96kg,1950.5
865,Asus,K556UR-DM621T (i7-7500U/8GB/256GB/GeForce,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,7th Gen,8GB,Nvidia GeForce GTX 930MX,Windows 10,2.3kg,815.69
866,Dell,Latitude 5580,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.9kg,1281.73
867,Asus,X541NA (N4200/4GB/1TB/W10),Notebook,15.6,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4th Gen,4GB,Intel HD Graphics 505,Windows 10,2kg,543.98
868,HP,EliteBook x360,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 7600U 2.8GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.28kg,2246.06
869,Dell,Inspiron 5368,Notebook,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 6200U 2.3GHz,6th Gen,8GB,Intel HD Graphics 520,Windows 10,1.62kg,745.9
870,Lenovo,IdeaPad 110-15ISK,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,6th Gen,4GB,Intel HD Graphics 520,No OS,2.2kg,562.63
871,Lenovo,ThinkPad E570,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,2.3kg,1129.7
872,HP,EliteBook 850,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,7th Gen,8GB,AMD Radeon R7 M465,Windows 10,1.84kg,1910.33
873,Toshiba,Portege X30-D-10X,Notebook,13.3,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,4GB,Intel HD Graphics 620,Windows 10,1.05kg,1152.62
874,Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,7th Gen,8GB,Nvidia GeForce GTX 1050,No OS,2.5kg,953.77
875,Dell,XPS 13,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 7660U 2.5GHz,7th Gen,16GB,Intel Iris Plus Graphics 640,Windows 10,1.29kg,1900.61
876,HP,Probook 450,Notebook,15.6,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,6th Gen,4GB,Intel HD Graphics 520,Windows 10,2.07kg,958.41
877,Toshiba,Portégé Z30-C-188,Ultrabook,13.3,1366x768,Intel Core i5 6200U 2.3GHz,6th Gen,8GB,Intel HD Graphics 520,Windows 10,1.2kg,1306.63
878,Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.37kg,2530.06
879,Acer,TMX349-G2-M-50FS (i5-7200U/8GB/256GB/FHD/W10),Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.56kg,978.5
880,Dell,Precision 3520,Workstation,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,7th Gen,8GB,Nvidia Quadro M620,Windows 10,2.23kg,1842.06
881,Lenovo,ThinkPad L570,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,7th Gen,4GB,Intel HD Graphics 620,Windows 10,2.38kg,1192.52
882,Lenovo,IdeaPad 110-15ISK,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,6th Gen,4GB,AMD Radeon R5 M430,No OS,2.2kg,446.89
883,Toshiba,Tecra A50-D-11D,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,2.0kg,2106.86
884,Lenovo,Thinkpad 13,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,7th Gen,4GB,Intel HD Graphics 620,Windows 10,1.44kg,572.17
885,Samsung,Notebook 9,Ultrabook,15.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,7th Gen,16GB,Nvidia GeForce 940MX,Windows 10,1.23kg,2102.22
886,Dell,Latitude 7280,Ultrabook,12.5,Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.6kg,2542.98
887,Asus,X541NA-GO121 (N4200/4GB/1TB/Linux),Notebook,15.6,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4th Gen,4GB,Intel HD Graphics 505,Linux,2kg,439.43
888,Xiaomi,Mi Notebook,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,6th Gen,8GB,Nvidia GeForce 940MX,Windows 10,1.28kg,992.96
889,Dell,Vostro 5568,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,4GB,Nvidia GeForce 940MX,Windows 10,2.18kg,938.52
890,HP,ProBook 450,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,4GB,Intel HD Graphics 620,Windows 10,2.04kg,892.63
891,HP,EliteBook x360,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,4GB,Intel HD Graphics 620,Windows 10,1.28kg,2336.77
892,HP,Pavilion x360,2 in 1 Convertible,15.6,Touchscreen 1366x768,Intel Core i5 7200U 2.5GHz,7th Gen,4GB,Intel HD Graphics 620,Windows 10,2.3kg,450.34
893,Asus,VivoBook L402NA,Notebook,14.1,1366x768,Intel Celeron Dual Core N3350 1.1GHz,3th Gen,4GB,Intel HD Graphics 500,Windows 10,1.65kg,489.53
894,Lenovo,IdeaPad 510-15ISK,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,6th Gen,8GB,Nvidia GeForce 940MX,Windows 10,2.2kg,545.37
895,Dell,Inspiron 3552,Notebook,15.6,1366x768,Intel Pentium Quad Core N3710 1.6GHz,3th Gen,4GB,Intel HD Graphics,Windows 10,2.2kg,386.22
896,HP,EliteBook x360,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,4GB,Intel HD Graphics 620,Windows 10,1.28kg,1824.46
897,Dell,Vostro 3568,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,6th Gen,4GB,AMD Radeon R5 M420X,Linux,2.18kg,554.91
898,Asus,Rog GL753VD-GC082T,Gaming,17.3,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,7th Gen,12GB,Nvidia GeForce GTX 1050,Windows 10,2.2kg,1069.04
899,Acer,Chromebook C731-C78G,Netbook,11.6,IPS Panel 1366x768,Intel Celeron Dual Core N3060 1.6GHz,3th Gen,4GB,Intel HD Graphics 400,Chrome OS,1.25kg,354.15
900,Lenovo,IdeaPad 110-17ACL,Notebook,17.3,1600x900,AMD A4-Series 7210 2.2GHz,7th Gen,4GB,AMD Radeon R3,Windows 10,2.8kg,570.34
901,HP,Probook 640,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,4GB,Intel HD Graphics 620,Windows 10,1.95kg,1046.62
902,HP,Envy x360,2 in 1 Convertible,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 7500U 2.7GHz,7th Gen,16GB,Intel HD Graphics 620,Windows 10,1.42kg,1591.98
903,Samsung,Notebook 9,Ultrabook,15.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.17kg,1643.96
904,Lenovo,ThinkPad T470s,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.32kg,2132.13
905,MSI,GS73VR Stealth,Gaming,17.3,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 6700HQ 2.6GHz,6th Gen,16GB,Nvidia GeForce GTX 1060,Windows 10,2.43kg,2924.04
906,Toshiba,Portege X30-D-10V,Notebook,13.3,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.05kg,1433.26
908,Dell,Inspiron 7567,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,7th Gen,8GB,Nvidia GeForce GTX 1050Ti,Linux,2.62kg,1112.55
909,HP,ProBook 450,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,7th Gen,8GB,Nvidia GeForce 930MX,Windows 10,2.04kg,1314.78
910,Dell,Vostro 3568,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,6th Gen,4GB,AMD Radeon R5 M420X,Windows 10,2.18kg,651.96
911,Dell,Latitude 5580,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.9kg,1163.09
912,Dell,XPS 13,2 in 1 Convertible,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 7Y75 1.3GHz,7th Gen,8GB,Intel HD Graphics 615,Windows 10,1.24kg,1693.71
913,Asus,G701VO-IH74K (i7-6820HK/32GB/2x,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 6820HK 2.7GHz,6th Gen,32GB,Nvidia GeForce GTX 980M,Windows 10,3.58kg,1162.24
914,Dell,XPS 13,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 7Y75 1.3GHz,7th Gen,16GB,Intel HD Graphics 615,Windows 10,1.22kg,1969.7
915,Lenovo,ThinkPad X1,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.13kg,2862.09
916,Lenovo,ThinkPad T570,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.95kg,2298.9
917,LG,Gram 15Z970,Ultrabook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,7th Gen,16GB,Intel HD Graphics 620,Windows 10,1.08kg,2177.48
918,HP,Elitebook 820,Netbook,12.5,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.26kg,1631.09
919,Acer,Chromebook CB5-571-C1DZ,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Celeron Dual Core 3205U 1.5GHz,3th Gen,4GB,Intel HD Graphics,Chrome OS,2.20kg,305.12
920,Lenovo,IdeaPad Y700-15ISK,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 6300HQ 2.3GHz,6th Gen,8GB,Nvidia GeForce GTX 960M,Windows 10,2.6kg,963.29
922,LG,Gram 14Z970,Ultrabook,14.0,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,0.98kg,2424.01
923,Dell,Latitude 5480,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7440HQ 2.8GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.6kg,1216.55
924,HP,Elitebook Folio,Ultrabook,12.5,4K Ultra HD / Touchscreen 3840x2160,Intel Core M 6Y75 1.2GHz,Unknown,8GB,Intel HD Graphics 515,Windows 10,1.09kg,3118.57
925,Lenovo,IdeaPad 510-15IKB,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,7th Gen,6GB,Nvidia GeForce 940MX,Windows 10,2.2kg,909.86
926,HP,ProBook 450,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,7th Gen,8GB,Nvidia GeForce 930MX,Windows 10,2.04kg,1031.89
927,Acer,Aspire E5-575,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,7th Gen,4GB,Intel HD Graphics 620,Windows 10,2.4kg,542.3
928,Lenovo,ThinkPad 13,Notebook,13.3,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,4GB,Intel HD Graphics 620,Windows 10,1.44kg,1339.07
930,HP,Probook 430,Notebook,13.3,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.49kg,1008.57
931,MSI,GE72VR 6RF,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,7th Gen,16GB,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7kg,1644.3
932,Dell,Inspiron 7567,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,7th Gen,16GB,Nvidia GeForce GTX 1050 Ti,Windows 10,2.6kg,1309.19
933,MSI,GL62M 7RD,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,7th Gen,8GB,Nvidia GeForce GTX 1050,Windows 10,2.2kg,1398.59
934,Dell,Vostro 3568,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,7th Gen,4GB,AMD Radeon R5 M420,Windows 10,2.18kg,728.66
935,HP,EliteBook 850,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,6th Gen,8GB,AMD Radeon R7 M365X,Windows 10,1.84kg,1258.24
936,HP,Envy 13-AB077cl,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 7500U 2.7GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.39kg,1567.54
937,Toshiba,Tecra Z50-C-140,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6600U 2.6GHz,6th Gen,16GB,Nvidia GeForce 930M,Windows 10,2.4kg,2733.24
938,Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.37kg,1788.35
939,Dell,Latitude 3580,Notebook,15.6,1366x768,Intel Core i5 6200U 2.3GHz,6th Gen,4GB,Intel HD Graphics 520,Windows 10,1.95kg,530.41
940,Lenovo,Thinkpad X270,Ultrabook,12.5,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.36kg,2147.48
941,HP,Probook 650,Notebook,15.6,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,6th Gen,8GB,Intel HD Graphics 520,Windows 10,2.31kg,1121.98
942,Dell,Vostro 3568,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,7th Gen,4GB,Intel HD Graphics 620,Windows 10,2.18kg,890.83
943,HP,ProBook 640,Notebook,14.0,1366x768,Intel Core i5 6200U 2.3GHz,6th Gen,4GB,Intel HD Graphics 520,Windows 10,1.95kg,811.17
944,Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4th Gen,4GB,Intel HD Graphics 505,Windows 10,2.2kg,395.06
945,HP,EliteBook 820,Ultrabook,12.5,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,6th Gen,4GB,Intel HD Graphics 520,Windows 10,1.26kg,1354.41
946,HP,250 G6,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,3th Gen,4GB,Intel HD Graphics 400,No OS,1.86kg,360.01
947,Lenovo,Yoga 900-13ISK,2 in 1 Convertible,13.3,IPS Panel Quad HD+ / Touchscreen 3200x1800,Intel Core i7 6560U 2.2GHz,6th Gen,16GB,Intel Iris Graphics 540,Windows 10,1.3kg,1984.04
948,Toshiba,Tecra Z40-C-12X,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,6th Gen,4GB,Intel HD Graphics 520,Windows 10,1.47kg,1004.68
949,HP,EliteBook 820,Netbook,12.5,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,6th Gen,8GB,Intel HD Graphics 520,Windows 10,1.26kg,1700.03
950,Dell,Vostro 3568,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,6th Gen,4GB,Intel HD Graphics 520,Windows 10,2.18kg,691.14
951,MSI,GP62M Leopard,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,7th Gen,8GB,Nvidia GeForce GTX 1050,Windows 10,2.2kg,1344.29
952,Dell,Latitude 7480,Ultrabook,14.0,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.36kg,1994.47
953,Dell,Alienware 17,Gaming,17.3,2560x1440,Intel Core i7 6820HK 2.7GHz,6th Gen,16GB,Nvidia GeForce GTX 1080,Windows 10,4.36kg,4124.0
954,HP,Omen 17-W006na,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 6300HQ 2.3GHz,6th Gen,8GB,Nvidia GeForce GTX 965M,Windows 10,2.75kg,1101.23
955,Asus,X751SV-TY001T (N3710/4GB/1TB/GeForce,Notebook,17.3,1600x900,Intel Pentium Quad Core N3710 1.6GHz,3th Gen,4GB,Nvidia GeForce 920MX,Windows 10,2.8kg,754.42
956,Acer,TravelMate P259-G2,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,7th Gen,4GB,Intel HD Graphics 620,Windows 10,2.23kg,693.82
957,Toshiba,Tecra A50-C-1ZV,Notebook,15.6,1366x768,Intel Core i5 6200U 2.3GHz,6th Gen,8GB,Intel HD Graphics 520,Windows 10,2.2kg,1029.75
958,Lenovo,Yoga 700-11ISK,2 in 1 Convertible,11.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core M m7-6Y75 1.2GHz,Unknown,8GB,Intel HD Graphics 515,Windows 10,1.1kg,1083.28
959,Lenovo,IdeaPad Y700-15ACZ,Gaming,15.6,IPS Panel Full HD 1920x1080,AMD FX 8800P 2.1GHz,8th Gen,16GB,AMD Radeon R9 M385,Windows 10,2.5kg,1061.11
960,Dell,Latitude 7280,Ultrabook,12.5,Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,Intel HD Graphics,Windows 10,1.36kg,1890.79
961,Lenovo,IdeaPad 310-15IKB,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,7th Gen,8GB,Nvidia GeForce 920MX,No OS,2.2kg,736.03
962,Dell,Insprion 5767,Notebook,17.3,1600x900,Intel Core i3 6006U 2.0GHz,6th Gen,4GB,AMD Radeon R7 M445,Windows 10,2.36kg,924.07
